French,English
partie,part
histoire,history
chercher,search
pensais,thought
car,because
aucun,no
chaque,each
arrivé,come
bébé,baby
longtemps,long time
place,square
étaient,were
voici,here is
affaire,case
donner,give
type,type
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
pardon,sorry
devant,in front of
demandé,request
belle,beautiful
cause,cause
attendez,Wait
nouvelle,new
boulot,job
dirait,would say
croire,believe
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
